Make,Model,Type,Origin,Invoice,Horsepower,MPG_City,MPG_Highway,Wheelbase,Length
Acura, MDX,SUV,Asia,33337,265,17,23,106,189
Acura, RSX Type S 2dr,Sedan,Asia,21761,200,24,31,101,172
Acura, TSX 4dr,Sedan,Asia,24647,200,22,29,105,183
Acura, TL 4dr,Sedan,Asia,30299,270,20,28,108,186
Acura, 3.5 RL 4dr,Sedan,Asia,39014,225,18,24,115,197
Acura, 3.5 RL w/Navigation 4dr,Sedan,Asia,41100,225,18,24,115,197
Acura, NSX coupe 2dr manual S,Sports,Asia,79978,290,17,24,100,174
Audi, A4 1.8T 4dr,Sedan,Europe,23508,170,22,31,104,179
Audi, A41.8T convertible 2dr,Sedan,Europe,32506,170,23,30,105,180
Audi, A4 3.0 4dr,Sedan,Europe,28846,220,20,28,104,179
Audi, A4 3.0 Quattro 4dr manual,Sedan,Europe,30366,220,17,26,104,179
Audi, A4 3.0 Quattro 4dr auto,Sedan,Europe,31388,220,18,25,104,179
Audi, A6 3.0 4dr,Sedan,Europe,33129,220,20,27,109,192
Audi, A6 3.0 Quattro 4dr,Sedan,Europe,35992,220,18,25,109,192
Audi, A4 3.0 convertible 2dr,Sedan,Europe,38325,220,20,27,105,180
Audi, A4 3.0 Quattro convertible 2dr,Sedan,Europe,40075,220,18,25,105,180
Audi, A6 2.7 Turbo Quattro 4dr,Sedan,Europe,38840,250,18,25,109,192
Audi, A6 4.2 Quattro 4dr,Sedan,Europe,44936,300,17,24,109,193
Audi, A8 L Quattro 4dr,Sedan,Europe,64740,330,17,24,121,204
Audi, S4 Quattro 4dr,Sedan,Europe,43556,340,14,20,104,179
Audi, RS 6 4dr,Sports,Europe,76417,450,15,22,109,191
Audi, TT 1.8 convertible 2dr (coupe),Sports,Europe,32512,180,20,28,95,159
Audi, TT 1.8 Quattro 2dr (convertible),Sports,Europe,33891,225,20,28,96,159
Audi, TT 3.2 coupe 2dr (convertible),Sports,Europe,36739,250,21,29,96,159
Audi, A6 3.0 Avant Quattro,Wagon,Europe,37060,220,18,25,109,192
Audi, S4 Avant Quattro,Wagon,Europe,44446,340,15,21,104,179
BMW, X3 3.0i,SUV,Europe,33873,225,16,23,110,180
BMW, X5 4.4i,SUV,Europe,47720,325,16,22,111,184
BMW, 325i 4dr,Sedan,Europe,26155,184,20,29,107,176
BMW, 325Ci 2dr,Sedan,Europe,28245,184,20,29,107,177
BMW, 325Ci convertible 2dr,Sedan,Europe,34800,184,19,27,107,177
BMW, 325xi 4dr,Sedan,Europe,27745,184,19,27,107,176
BMW, 330i 4dr,Sedan,Europe,32525,225,20,30,107,176
BMW, 330Ci 2dr,Sedan,Europe,33890,225,20,30,107,176
BMW, 330xi 4dr,Sedan,Europe,34115,225,20,29,107,176
BMW, 525i 4dr,Sedan,Europe,36620,184,19,28,114,191
BMW, 330Ci convertible 2dr,Sedan,Europe,40530,225,19,28,107,177
BMW, 530i 4dr,Sedan,Europe,41170,225,20,30,114,191
BMW, 545iA 4dr,Sedan,Europe,50270,325,18,26,114,191
BMW, 745i 4dr,Sedan,Europe,63190,325,18,26,118,198
BMW, 745Li 4dr,Sedan,Europe,66830,325,18,26,123,204
BMW, M3 coupe 2dr,Sports,Europe,44170,333,16,24,108,177
BMW, M3 convertible 2dr,Sports,Europe,51815,333,16,23,108,177
BMW, Z4 convertible 2.5i 2dr,Sports,Europe,31065,184,20,28,98,161
BMW, Z4 convertible 3.0i 2dr,Sports,Europe,37575,225,21,29,98,161
BMW, 325xi Sport,Wagon,Europe,30110,184,19,26,107,176
Buick, Rainier,SUV,USA,34357,275,15,21,113,193
Buick, Rendezvous CX,SUV,USA,24085,185,19,26,112,187
Buick, Century Custom 4dr,Sedan,USA,20351,175,20,30,109,195
Buick, LeSabre Custom 4dr,Sedan,USA,24282,205,20,29,112,200
Buick, Regal LS 4dr,Sedan,USA,22835,200,20,30,109,196
Buick, Regal GS 4dr,Sedan,USA,26047,240,18,28,109,196
Buick, LeSabre Limited 4dr,Sedan,USA,29566,205,20,29,112,200
Buick, Park Avenue 4dr,Sedan,USA,32244,205,20,29,114,207
Buick, Park Avenue Ultra 4dr,Sedan,USA,36927,240,18,28,114,207
Cadillac, Escalade,SUV,USA,48377,295,14,18,116,199
Cadillac, SRX V8,SUV,USA,43523,320,16,21,116,195
Cadillac, CTS VVT 4dr,Sedan,USA,28575,255,18,25,113,190
Cadillac, Deville 4dr,Sedan,USA,41650,275,18,26,115,207
Cadillac, Deville DTS 4dr,Sedan,USA,46362,300,18,26,115,207
Cadillac, Seville SLS 4dr,Sedan,USA,43841,275,18,26,112,201
Cadillac, XLR convertible 2dr,Sports,USA,70546,320,17,25,106,178
Cadillac, Escalade EXT,Truck,USA,48541,345,13,17,130,221
Chevrolet, Suburban 1500 LT,SUV,USA,37422,295,14,18,130,219
Chevrolet, Tahoe LT,SUV,USA,36287,295,14,18,116,197
Chevrolet, TrailBlazer LT,SUV,USA,27479,275,16,21,113,192
Chevrolet, Tracker,SUV,USA,19108,165,19,22,98,163
Chevrolet, Aveo 4dr,Sedan,USA,10965,103,28,34,98,167
Chevrolet, Aveo LS 4dr hatch,Sedan,USA,11802,103,28,34,98,153
Chevrolet, Cavalier 2dr,Sedan,USA,13697,140,26,37,104,183
Chevrolet, Cavalier 4dr,Sedan,USA,13884,140,26,37,104,183
Chevrolet, Cavalier LS 2dr,Sedan,USA,15357,140,26,37,104,183
Chevrolet, Impala 4dr,Sedan,USA,20095,180,21,32,111,200
Chevrolet, Malibu 4dr,Sedan,USA,17434,145,24,34,106,188
Chevrolet, Malibu LS 4dr,Sedan,USA,18639,200,22,30,106,188
Chevrolet, Monte Carlo LS 2dr,Sedan,USA,20026,180,21,32,111,198
Chevrolet, Impala LS 4dr,Sedan,USA,22931,200,20,30,111,200
Chevrolet, Impala SS 4dr,Sedan,USA,25672,240,18,28,111,200
Chevrolet, Malibu LT 4dr,Sedan,USA,21551,200,23,32,106,188
Chevrolet, Monte Carlo SS 2dr,Sedan,USA,22222,200,18,28,111,198
Chevrolet, Astro,Sedan,USA,23954,190,14,17,111,190
Chevrolet, Venture LS,Sedan,USA,24518,185,19,26,112,187
Chevrolet, Corvette 2dr,Sports,USA,39068,350,18,25,105,180
Chevrolet, Corvette convertible 2dr,Sports,USA,45193,350,18,25,105,180
Chevrolet, Avalanche 1500,Truck,USA,31689,295,14,18,130,222
Chevrolet, Colorado Z85,Truck,USA,17070,175,18,23,111,192
Chevrolet, Silverado 1500 Regular Cab,Truck,USA,18480,200,15,21,119,206
Chevrolet, Silverado SS,Truck,USA,35399,300,13,17,144,238
Chevrolet, SSR,Truck,USA,39306,300,16,19,116,191
Chevrolet, Malibu Maxx LS,Wagon,USA,20394,200,22,30,112,188
Chrysler, PT Cruiser 4dr,Sedan,USA,16919,150,22,29,103,169
Chrysler, PT Cruiser Limited 4dr,Sedan,USA,20573,150,22,29,103,169
Chrysler, Sebring 4dr,Sedan,USA,17805,150,22,30,108,191
Chrysler, Sebring Touring 4dr,Sedan,USA,20284,200,21,28,108,191
Chrysler, 300M 4dr,Sedan,USA,27797,250,18,27,113,198
Chrysler, Concorde LX 4dr,Sedan,USA,22452,200,21,29,113,208
Chrysler, Concorde LXi 4dr,Sedan,USA,24909,232,19,27,113,208
Chrysler, PT Cruiser GT 4dr,Sedan,USA,24172,220,21,27,103,169
Chrysler, Sebring convertible 2dr,Sedan,USA,23451,150,22,30,106,194
Chrysler, 300M Special Edition 4dr,Sedan,USA,30884,255,18,27,113,198
Chrysler, Sebring Limited convertible 2dr,Sedan,USA,28613,200,21,28,106,194
Chrysler, Town and Country LX,Sedan,USA,25371,180,19,26,119,201
Chrysler, Town and Country Limited,Sedan,USA,35063,215,18,25,119,201
Chrysler, Crossfire 2dr,Sports,USA,32033,215,17,25,95,160
Chrysler, Pacifica,Wagon,USA,28725,250,17,23,116,199
Dodge, Durango SLT,SUV,USA,29472,230,15,21,119,201
Dodge, Neon SE 4dr,Sedan,USA,12849,132,29,36,105,174
Dodge, Neon SXT 4dr,Sedan,USA,14086,132,29,36,105,174
Dodge, Intrepid SE 4dr,Sedan,USA,20502,200,21,29,113,204
Dodge, Stratus SXT 4dr,Sedan,USA,17512,150,21,28,108,191
Dodge, Stratus SE 4dr,Sedan,USA,18821,150,21,28,108,191
Dodge, Intrepid ES 4dr,Sedan,USA,23058,232,18,27,113,204
Dodge, Caravan SE,Sedan,USA,20508,150,20,26,113,189
Dodge, Grand Caravan SXT,Sedan,USA,29812,215,18,25,119,201
Dodge, Viper SRT-10 convertible 2dr,Sports,USA,74451,500,12,20,99,176
Dodge, Dakota Regular Cab,Truck,USA,16264,210,16,22,112,193
Dodge, Dakota Club Cab,Truck,USA,18670,210,16,22,131,219
Dodge, Ram 1500 Regular Cab ST,Truck,USA,18076,215,16,21,121,208
Ford, Excursion 6.8 XLT,SUV,USA,36494,310,10,13,137,227
Ford, Expedition 4.6 XLT,SUV,USA,30468,232,15,19,119,206
Ford, Explorer XLT V6,SUV,USA,26983,210,15,20,114,190
Ford, Escape XLS,SUV,USA,20907,201,18,23,103,173
Ford, Focus ZX3 2dr hatch,Sedan,USA,12482,130,26,33,103,168
Ford, Focus LX 4dr,Sedan,USA,12906,110,27,36,103,168
Ford, Focus SE 4dr,Sedan,USA,14496,130,26,33,103,168
Ford, Focus ZX5 5dr,Sedan,USA,14607,130,26,33,103,168
Ford, Focus SVT 2dr,Sedan,USA,17878,170,21,28,103,168
Ford, Taurus LX 4dr,Sedan,USA,18881,155,20,27,109,198
Ford, Taurus SES Duratec 4dr,Sedan,USA,20857,201,19,26,109,198
Ford, Crown Victoria 4dr,Sedan,USA,22856,224,17,25,115,212
Ford, Crown Victoria LX 4dr,Sedan,USA,25105,224,17,25,115,212
Ford, Crown Victoria LX Sport 4dr,Sedan,USA,27756,239,17,25,115,212
Ford, Freestar SE,Sedan,USA,24498,193,17,23,121,201
Ford, Mustang 2dr (convertible),Sports,USA,16943,193,20,29,101,183
Ford, Mustang GT Premium convertible 2dr,Sports,USA,26875,260,17,25,101,183
Ford, Thunderbird Deluxe convert w/hardtop 2d,Sports,USA,34483,280,17,24,107,186
Ford, F-150 Regular Cab XL,Truck,USA,19490,231,15,19,126,211
Ford, F-150 Supercab Lariat,Truck,USA,29405,300,14,18,133,218
Ford, Ranger 2.3 XL Regular Cab,Truck,USA,13717,143,24,29,111,188
Ford, Focus ZTW,Wagon,USA,16375,130,26,33,103,178
Ford, Taurus SE,Wagon,USA,20457,155,19,26,109,198
GMC, Envoy XUV SLE,SUV,USA,28922,275,15,19,129,208
GMC, Yukon 1500 SLE,SUV,USA,31361,285,16,19,116,199
GMC, Yukon XL 2500 SLT,SUV,USA,40534,325,13,17,130,219
GMC, Safari SLE,Sedan,USA,23215,190,16,20,111,190
GMC, Canyon Z85 SL Regular Cab,Truck,USA,14877,175,18,25,111,192
GMC, Sierra Extended Cab 1500,Truck,USA,22604,285,17,20,144,230
GMC, Sierra HD 2500,Truck,USA,25759,300,13,18,133,222
GMC, Sonoma Crew Cab,Truck,USA,23043,190,15,19,123,208
Honda, Pilot LX,SUV,Asia,24843,240,17,22,106,188
Honda, CR-V LX,SUV,Asia,18419,160,21,25,103,179
Honda, Element LX,SUV,Asia,17334,160,21,24,101,167
Honda, Civic DX 2dr,Sedan,Asia,12175,115,32,38,103,175
Honda, Civic HX 2dr,Sedan,Asia,12996,117,36,44,103,175
Honda, Civic LX 4dr,Sedan,Asia,14531,115,32,38,103,175
Honda, Accord LX 2dr,Sedan,Asia,17924,160,26,34,105,188
Honda, Accord EX 2dr,Sedan,Asia,20080,160,26,34,105,188
Honda, Civic EX 4dr,Sedan,Asia,16265,127,32,37,103,175
Honda, Civic Si 2dr hatch,Sedan,Asia,17849,160,26,30,101,166
Honda, Accord LX V6 4dr,Sedan,Asia,21428,240,21,30,108,190
Honda, Accord EX V6 2dr,Sedan,Asia,24304,240,21,30,105,188
Honda, Odyssey LX,Sedan,Asia,22498,240,18,25,118,201
Honda, Odyssey EX,Sedan,Asia,24744,240,18,25,118,201
Honda, S2000 convertible 2dr,Sports,Asia,29965,240,20,25,95,162
Hummer, H2,SUV,USA,45815,316,10,12,123,190
Hyundai, Santa Fe GLS,SUV,Asia,20201,173,20,26,103,177
Hyundai, Accent 2dr hatch,Sedan,Asia,10107,103,29,33,96,167
Hyundai, Accent GL 4dr,Sedan,Asia,11116,103,29,33,96,167
Hyundai, Accent GT 2dr hatch,Sedan,Asia,11209,103,29,33,96,167
Hyundai, Elantra GLS 4dr,Sedan,Asia,12781,138,26,34,103,178
Hyundai, Elantra GT 4dr,Sedan,Asia,14207,138,26,34,103,178
Hyundai, Elantra GT 4dr hatch,Sedan,Asia,14207,138,26,34,103,178
Hyundai, Sonata GLS 4dr,Sedan,Asia,17574,170,19,27,106,187
Hyundai, Sonata LX 4dr,Sedan,Asia,18380,170,19,27,106,187
Hyundai, XG350 4dr,Sedan,Asia,22055,194,17,26,108,192
Hyundai, XG350 L 4dr,Sedan,Asia,23486,194,17,26,108,192
Hyundai, Tiburon GT V6 2dr,Sports,Asia,17101,172,19,26,100,173
Infiniti, G35 4dr,Sedan,Asia,26157,260,18,26,112,187
Infiniti, G35 Sport Coupe 2dr,Sedan,Asia,27536,280,18,26,112,182
Infiniti, G35 4dr,Sedan,Asia,29783,260,18,26,112,187
Infiniti, I35 4dr,Sedan,Asia,28320,255,19,26,108,194
Infiniti, M45 4dr,Sedan,Asia,38792,340,17,23,110,197
Infiniti, Q45 Luxury 4dr,Sedan,Asia,47575,340,17,23,113,200
Infiniti, FX35,Wagon,Asia,31756,280,16,22,112,189
Infiniti, FX45,Wagon,Asia,33121,315,15,19,112,189
Isuzu, Ascender S,SUV,Asia,29977,275,15,20,129,208
Isuzu, Rodeo S,SUV,Asia,19261,193,17,21,106,178
Jaguar, X-Type 2.5 4dr,Sedan,Europe,27355,192,18,26,107,184
Jaguar, X-Type 3.0 4dr,Sedan,Europe,30995,227,18,25,107,184
Jaguar, S-Type 3.0 4dr,Sedan,Europe,40004,235,18,26,115,192
Jaguar, S-Type 4.2 4dr,Sedan,Europe,45556,294,18,28,115,192
Jaguar, S-Type R 4dr,Sedan,Europe,57499,390,17,24,115,192
Jaguar, Vanden Plas 4dr,Sedan,Europe,62846,294,18,28,119,200
Jaguar, XJ8 4dr,Sedan,Europe,54656,294,18,28,119,200
Jaguar, XJR 4dr,Sedan,Europe,68306,390,17,24,119,200
Jaguar, XK8 coupe 2dr,Sports,Europe,63756,294,18,26,102,187
Jaguar, XK8 convertible 2dr,Sports,Europe,68306,294,18,26,102,187
Jaguar, XKR coupe 2dr,Sports,Europe,74676,390,16,23,102,187
Jaguar, XKR convertible 2dr,Sports,Europe,79226,390,16,23,102,187
Jeep, Grand Cherokee Laredo,SUV,USA,25686,195,16,21,106,181
Jeep, Liberty Sport,SUV,USA,18973,150,20,24,104,174
Jeep, Wrangler Sahara convertible 2dr,SUV,USA,23275,190,16,19,93,150
Kia, Sorento LX,SUV,Asia,18630,192,16,19,107,180
Kia, Optima LX 4dr,Sedan,Asia,14910,138,23,30,106,186
Kia, Rio 4dr manual,Sedan,Asia,9875,104,26,33,95,167
Kia, Rio 4dr auto,Sedan,Asia,10705,104,25,32,95,167
Kia, Spectra 4dr,Sedan,Asia,11630,124,24,32,101,178
Kia, Spectra GS 4dr hatch,Sedan,Asia,12830,124,24,32,101,178
Kia, Spectra GSX 4dr hatch,Sedan,Asia,13790,124,24,32,101,178
Kia, Optima LX V6 4dr,Sedan,Asia,16850,170,20,27,106,186
Kia, Amanti 4dr,Sedan,Asia,23764,195,17,25,110,196
Kia, Sedona LX,Sedan,Asia,19400,195,16,22,115,194
Kia, Rio Cinco,Wagon,Asia,11410,104,26,33,95,167
Land Rover, Range Rover HSE,SUV,Europe,65807,282,12,16,113,195
